"","Punkt","Jahr","Stratum","x_UTM","y_UTM","Tiefe_zum_Oxidationshorizont_cm","Maechtigkeit_Oxidationshorizont_cm","Maechtigkeit_A_Horizont_cm","Maechtigkeit_AL_Schicht_cm","Gelaendehoehe_m","Bodenfeuchte_Prozent","StratumName","linModel","errlinModel","bestlinModel","errbestlinModel","glm","errglm","glm_gamma","errglm_gamma","bestglm","errbestglm","treeModel","errtreeModel","OOB","errOOB","INB","errINB"
"71",71,2012,2,311993.5,5846444,35,65,60,100,98.848,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,2012,2,312000.5,5846444,40,60,40,100,98.829,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,2012,2,311897,5846525,100,0,55,35,98.51,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,2012,2,311880,5846512,26,74,30,100,98.506,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,2012,2,311897.5,5846525,60,40,35,30,98.519,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,2012,2,311904.5,5846525,80,15,10,40,98.667,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,2012,2,311910,5846464,47,53,10,100,99.055,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,2012,2,311901,5846489,41,59,5,100,99.061,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,2012,2,311910.5,5846464,41,59,15,100,99.042,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,2012,2,311917.5,5846464,55,45,20,100,99.082,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,2012,2,312016,5846468,60,40,35,100,98.896,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,2012,2,312020,5846478,42,58,43,100,98.92,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,2012,2,312016.5,5846468,30,70,35,100,98.881,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,2012,2,312023.5,5846468,50,50,22,100,98.876,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,2012,2,311996,5846398,24,49,24,70,98.237,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,2012,2,311968,5846418,26,74,55,100,98.438,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,2012,2,311996.5,5846398,18,82,40,90,98.246,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,2012,2,312003.5,5846398,27,41,21,100,98.291,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,2012,2,311941,5846469,26,74,18,75,98.982,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,2012,2,311958,5846489,67,33,65,70,99.089,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,2012,2,311941.5,5846466,25,75,55,100,98.851,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,2012,2,311948.5,5846469,21,79,NA,NA,98.885,NA,"Übergang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,2012,3,311814,5846436,22,66,19,90,97.803,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,2012,3,311798,5846449,NA,NA,NA,NA,97.775,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,2012,3,311814.5,5846436,NA,NA,NA,NA,97.787,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,2012,3,311821.5,5846436,13,87,15,100,97.786,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,2012,3,311842,5846423,100,0,23,65,97.735,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,2012,3,311832,5846454,NA,NA,NA,NA,97.906,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,2012,3,311842.5,5846423,100,0,20,100,97.72,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,2012,3,311849.5,5846423,NA,NA,NA,NA,97.666,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,2012,3,311900,5846421,32,47,35,85,97.918,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,2012,3,311886,5846406,23,56,20,100,97.777,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,2012,3,311900.5,5846421,34,21,15,65,97.91,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,2012,3,311907.5,5846421,NA,NA,NA,NA,98.072,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,2012,3,311867,5846545,30,15,15,NA,97.869,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,2012,3,311859,5846517,15,17,20,NA,97.845,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,2012,3,311867.5,5846545,30,70,27,NA,97.863,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,2012,3,311874.5,5846545,100,0,10,NA,97.737,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,2012,3,311858,5846425,22,7,20,100,97.737,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,2012,3,311860,5846417,34,52,36,100,97.76,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",111,2012,3,311858.5,5846425,31,20,25,100,97.756,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",112,2012,3,311865.5,5846425,35,60,NA,NA,97.801,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,2012,3,311824,5846479,18,82,15,NA,97.913,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,2012,3,311822,5846497,100,0,32,NA,97.863,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,2012,3,311824.5,5846479,10,22,8,NA,97.935,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,2012,3,311831.5,5846479,NA,NA,NA,NA,97.901,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,2012,3,311937,5846598,100,0,23,NA,97.775,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,2012,3,311972,5846596,32,47,20,NA,97.877,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,2012,3,311937.5,5846598,15,30,20,NA,97.773,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,2012,3,311944.5,5846598,16,18,15,NA,97.783,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,2012,3,311912,5846578,100,0,20,NA,97.727,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,2012,3,311919,5846569,100,0,15,NA,97.751,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,2012,3,311912.5,5846578,100,0,26,NA,97.727,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,2012,3,311919.5,5846578,100,0,26,NA,97.699,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,2012,3,311932,5846386,12,1,20,100,97.726,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,2012,3,311955,5846393,75,5,45,90,97.756,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",127,2012,3,311932.5,5846386,20,70,15,100,97.793,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,2012,3,311939.5,5846386,22,73,20,100,97.704,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,2012,3,311890,5846551,100,0,20,NA,97.702,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,2012,3,311891,5846545,100,0,NA,NA,97.708,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,2012,3,311890.5,5846551,100,0,20,NA,97.701,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,2012,3,311897.5,5846551,100,0,23,NA,97.715,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,2012,3,311844,5846504,48,12,20,100,97.783,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,2012,3,311849,5846529,5,1,11,50,97.909,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,2012,3,311844.5,5846513,10,10,9,60,97.779,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,2012,3,311851.5,5846513,100,0,14,40,97.874,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",137,2012,3,312018,5846376,52,48,10,NA,97.667,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,2012,3,312004,5846393,30,60,30,100,97.989,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,2012,3,312018.5,5846376,100,0,20,80,97.693,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",140,2012,3,312025.5,5846376,35,25,NA,NA,97.91,NA,"Feuchtwiese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
